Sistema Sectorial de Información Energética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector Eléctrico Nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usuarios de energía eléctrica por tarifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(número de usuarios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REALES-MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ene-05,feb-05,mar-05,abr-05,may-05,jun-05,jul-05,ago-05,sep-05,oct-05,nov-05,dic-05,ene-06,feb-06,mar-06,abr-06,may-06,jun-06,jul-06,ago-06,sep-06,oct-06,nov-06,dic-06,ene-07,feb-07,mar-07,abr-07,may-07,jun-07,jul-07,ago-07,sep-07,oct-07,nov-07,dic-07,ene-08,feb-08,mar-08,abr-08,may-08,jun-08,jul-08,ago-08,sep-08,oct-08,nov-08,dic-08,ene-09,feb-09,mar-09,abr-09,may-09,jun-09,jul-09,ago-09,sep-09,oct-09,nov-09,dic-09,ene-10,feb-10,mar-10,abr-10,may-10,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,dic-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,oct-11,nov-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12,jun-12,jul-12,ago-12,sep-12,oct-12,nov-12,dic-12,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usuarios totales,28079581,28144944,28230343,28316757,28400382,28503936,28586076,28683531,28758967,28816562,28899754,28986133,29033624,29100124,29200902,29262812,29336551,29459667,29552487,29641723,29723327,29820197,29878023,29940461,30047687,30146010,30254139,30360722,30454147,30560606,30657111,30788753,30895100,31002902,31103216,31212771,31342409,31465021,31575343,31705315,31788860,31922978,32004215,32101655,32176828,32271540,32343399,32451254,32540692,32628607,32711910,32792492,32852069,32956837,33029960,33106741,33146743,33211875,33312339,33403081,33440468,33518224,33630306,33698393,33755195,33859137,33947419,34016165,34154388,34241859,34299801,34392503,34488262,34575869,34691680,34768505,34856659,34928899,35019988,35104835,35163163,35252587,35326989,35397198,35470005,35545473,35635097,35718979,35807019,35893843,35986591,36078844,36145109,36222846,36305665,36399804,36500564,36607742,36702008,36796472,36872125,36940101,37028149,37119540,37188859,37274414,37345222,37433693,37534544,37619446,37709829,37800119,37867235,37951187,38028940,38110258,38179747,38268120,38316551,38433775,38526488,38622290,38729727,38829810,38909977,39009008,39114256,39223612,39316783,39414445,39502439,39600630,39711282,39821232,39916235,40024495,40105655,40194371,40305254,40424696,40506439,40590313,40704383,40766173,40911807,41036947,41198967,41335039,41458679,41519900,41721141,41840628,41939319,42051603,42148053,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Tarifa doméstico,24688205,24745635,24818739,24895544,24965955,25059584,25135594,25224975,25291313,25339530,25408565,25483844,25537584,25597530,25686389,25742253,25807363,25916286,26001849,26082292,26154429,26240359,26292825,26348022,26443035,26524604,26627422,26721737,26803620,26899119,26982299,27100613,27199715,27291829,27379232,27475740,27595366,27703412,27801232,27916709,27989987,28111475,28188816,28277645,28345258,28429249,28493953,28590594,28676615,28758032,28829680,28903370,28957959,29052877,29120147,29190036,29234199,29291144,29376270,29455336,29493848,29569197,29667334,29733453,29785999,29881921,29964484,30032197,30155534,30235813,30288550,30371831,30466173,30547853,30649395,30719728,30801067,30869942,30954421,31032556,31084232,31161407,31227044,31289135,31356626,31423464,31500666,31576932,31653582,31734289,31820222,31905228,31964047,32031958,32104479,32189614,32283960,32382303,32466906,32550612,32617470,32681354,32766645,32853033,32916143,32992485,33054910,33135156,33233560,33311490,33392005,33474727,33536162,33614804,33685850,33762892,33825594,33901182,33942340,34044860,34135452,34219351,34311215,34400177,34468513,34558592,34652304,34750373,34831285,34913941,34990370,35076603,35178999,35274347,35357156,35451652,35519081,35599459,35696771,35802415,35875394,35949175,36052817,36113943,36245640,36356573,36496312,36615442,36725579,36779496,36961436,37068836,37157455,37258147,37341093,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    1 Doméstico,13867708,13899626,13944336,13991415,14022268,13989573,14015411,14061296,14088557,14107060,14140427,14178897,14183294,14154268,14169781,14193860,14200227,14260159,14304033,14342838,14391311,14449745,14483424,14492807,14542649,14580230,14638896,14692655,14716351,14755717,14794619,14863039,14927328,14979066,15027503,15073572,15132051,15183169,15234423,15287808,15318150,15372941,15424917,15457576,15480553,15525602,15567056,15623956,15674679,15718835,15769777,15810159,15850539,15914107,15957158,16000977,16010681,16081293,16083839,16122907,16189313,16239256,16306241,16349942,16374103,16434498,16490240,16525947,16624092,16659876,16667567,16705737,16762388,16820215,16890247,16923371,16978989,17016323,17018769,17070668,17097099,17157183,17210571,17250711,17286658,17325007,17376607,17425856,17482975,17533931,17598571,17658904,17705532,17758672,17812114,17823874,17893560,17949392,18001731,18052056,18086199,18121986,18166064,18220277,18260962,18307516,18350176,18347110,18411354,18462096,18507319,18555190,18602777,18643317,18693612,18739861,18787892,18842236,18881089,18936560,18996663,19036388,19081761,19126763,19170481,19223369,19285248,19348065,19393774,19448009,19497670,19561179,19606944,19659671,19705589,19753990,19286604,19339431,19361334,19423475,19476396,19534285,19584546,19633299,19712167,19796432,19854961,19918790,19987793,19979601,20107708,20172691,20221603,20281322,20325394,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    1A Doméstico con temperatura media mínima en verano de 25°C,1367748,1369812,1374542,1379784,1385808,1454601,1463278,1467239,1470797,1473737,1479781,1448366,1448476,1450826,1454734,1459909,1479829,1483394,1490449,1497958,1505045,1513575,1519256,1508343,1513761,1516754,1524445,1529226,1526062,1531987,1537162,1543314,1548034,1553142,1561578,1567356,1571318,1593573,1582858,1592393,1592225,1610101,1608508,1624424,1647853,1658404,1663975,1670245,1672978,1677694,1683157,1688200,1687007,1689517,1688972,1691877,1695031,1698911,1703301,1707053,1711834,1716336,1724218,1732265,1737057,1741299,1744502,1739742,1742714,1747014,1749763,1753188,1758319,1761597,1765404,1767261,1769502,1773942,1820987,1829203,1833797,1840117,1838525,1844256,1849179,1854014,1862092,1866086,1869917,1877044,1881606,1881722,1882265,1888893,1892787,1883249,1888319,1882700,1891581,1896007,1895375,1899734,1905577,1910630,1914650,1916997,1920918,1975937,1980132,1982768,1995352,2003750,2005013,2001851,2005228,2016116,2020321,2024727,2026670,2032586,2038738,2027915,2028469,2039794,2043109,2049961,2054842,2059047,2061805,2066980,2070145,2075953,2075004,2081954,2084299,2093485,2600703,2613095,2651112,2656574,2656216,2660257,2666048,2670638,2682507,2690574,2700447,2711060,2721039,2731474,2740524,2750776,2758319,2765264,2776648,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    1B Doméstico con temperatura media mínima en verano de 28°C,3095869,3101256,3112842,3126675,3139183,3160130,3172738,3188128,3199960,3064374,3075250,3122992,3101792,3116154,3136629,3150324,3116300,3128530,3133837,3146831,3156283,3167693,3139578,3157941,3167498,3181353,3194969,3210611,3243239,3257016,3264313,3281752,3287498,3144749,3130799,3148951,3162730,3162446,3177937,3168223,3180524,3193569,3202396,3211061,3215058,3227847,3232774,3246535,3264496,3271920,3286201,3296946,3305959,3313836,3319831,3325429,3328449,3334439,3339606,3353408,3360222,3367245,3378530,3386541,3399557,3410369,3417891,3375558,3380993,3387298,3395577,3408282,3413066,3422438,3428609,3433731,3440264,3445280,3458450,3455182,3461912,3470826,3482483,3493836,3503317,3512847,3519426,3526436,3536430,3547728,3554472,3574618,3576392,3587131,3595981,3630264,3637036,3647176,3649860,3657326,3664905,3676225,3686422,3697795,3703062,3716270,3724969,3737209,3749033,3760504,3765068,3781432,3791058,3801343,3809150,3820285,3822440,3802181,3799075,3814860,3823514,3859770,3883816,3893863,3899759,3911871,3919085,3931758,3936491,3946428,3952783,3962547,3975752,3990521,4003075,4011881,4019262,3979941,3991579,4004717,4002490,4011737,4023264,4027974,4041532,4033368,4048231,4063402,4077814,4091810,4097162,4111999,4125267,4129538,4140159,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    1C Doméstico con temperatura media mínima en verano de 30°C,3497499,3458419,3471381,3483323,3492833,3508646,3522039,3536708,3550529,3689803,3711490,3729855,3761380,3774197,3790609,3796326,3862261,3884639,3901041,3916539,3926028,3938731,3988926,4018122,4036430,4046587,4059091,4073602,4087966,4101615,4115485,4127430,4142087,4091373,4132450,4149595,4176635,4198845,4229960,4279592,4294331,4312999,4322536,4343588,4359483,4375479,4392695,4410209,4421025,4436605,4437137,4451567,4457615,4471577,4484832,4491666,4502622,4514550,4540547,4556094,4559229,4572821,4569400,4578591,4589903,4607250,4616141,4693439,4707850,4720667,4722252,4727409,4747366,4760543,4775157,4785615,4789719,4801614,4815491,4831771,4838400,4837189,4841609,4845355,4881024,4893953,4900136,4911129,4921245,4933630,4946877,4952862,4965196,4965480,4973267,5006107,5018207,5054663,5069719,5084335,5109401,5122134,5144960,5160117,5173636,5190366,5198466,5209162,5225786,5237980,5261345,5269713,5277198,5297328,5306478,5310183,5317411,5321493,5331845,5358464,5370552,5384293,5398350,5410237,5421179,5427749,5439751,5441897,5460479,5469348,5478548,5481808,5498115,5509568,5523902,5539338,5556055,5606504,5626465,5640996,5657300,5667116,5692531,5690081,5705997,5722126,5449516,5466331,5477570,5499374,5521483,5524505,5533159,5208311,5215151,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    1D Doméstico con temperatura media mínima en verano de 31°C,710384,765236,767446,769183,771485,771073,773424,777008,778726,785073,787593,790325,790676,793222,794998,799286,797111,799877,803066,803203,807505,808729,809424,812603,816019,817914,819279,823910,826370,829001,832250,836301,839264,1066589,1071891,1077547,1083614,1087404,1091391,1095856,1099823,1105059,1106862,1073120,1075725,1078979,1081414,1085927,1088986,1091465,1094448,1097404,1098771,1101818,1104059,1106476,1109392,1061086,1062443,1064038,1066715,1068314,1072372,1075717,1079014,1083513,1088198,1090850,1093124,1094719,1097509,1099949,1096204,1096944,1094823,1096188,1097050,1099126,1101210,1102720,1104543,1105012,1104844,1104490,1089099,1087955,1090886,1093769,1095898,1098246,1099470,1100986,1102648,1105432,1107586,1125180,1127861,1129549,1132120,1135152,1136563,1138421,1142130,1058995,1061182,1062133,1063111,1066087,1069157,1074242,1075838,1077505,1079988,1081376,1083277,1083726,1084919,1119333,1119971,1112984,1113939,1117101,1120161,1123371,1126253,1128808,1132021,1133900,1134852,1133484,1133832,1132373,1153988,1155067,1153397,1155473,1156789,1159026,1159066,1161124,1167424,1161106,1165271,1167397,1171227,1175093,1495950,1500509,1505963,1512119,1519164,1524499,1529350,1877049,1883537,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    1E Doméstico con temperatura media mínima en verano de 32°C,913865,916163,920276,924738,928500,937723,940492,946399,951473,955087,959344,964945,969457,971254,974244,976608,984226,987479,990586,994434,998367,1001635,998181,1003913,1010162,1016354,1021638,1026384,1032279,1038152,1043886,1049172,1052131,1056868,1059975,1064701,1073479,1077785,1080331,1084866,1092112,1092970,1094022,1138429,1138674,1142941,1143471,1148263,1149799,1155039,1156456,1159845,1159972,1163321,1164554,1167946,1168275,967381,953496,958500,957292,958975,980323,984340,988732,993209,995402,998953,999644,1001686,1002450,1003914,1011428,1012196,1016770,1021115,1019890,1020120,1020833,1023046,1024512,1025124,1024440,1025896,1026396,1028536,1029973,1033877,1035052,1037680,1038257,1040374,1039844,1039639,1038853,1034995,1034600,1034064,1035625,1037342,1037713,1037632,1038261,1124967,1124857,1125960,1125777,1128578,1129504,1129388,1124215,1124275,1125843,1129635,1129960,1133827,1133594,1135244,1131174,1140091,1143582,1146682,1149216,1152722,1150955,1154187,1158616,1163616,1164671,1163859,1163862,1163899,1165963,1169372,1162264,1169782,1170398,1174331,1178625,1182184,1183410,1184001,1187467,1188866,1191948,1194069,1197567,1200662,1197100,1203713,1207194,1210447,1211555,1213905,1215901,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    1F Doméstico con temperatura media mínima en verano de 33°C,722571,723563,723454,723998,729033,735435,737760,741947,745502,746292,747334,750744,753744,756140,758565,761653,765845,770696,772557,776237,778773,779257,781868,786744,790816,794363,798199,800203,803575,807546,811171,812367,815111,816575,820242,823890,826643,831215,835253,839984,843921,848392,852967,855446,856867,857648,859216,862151,864541,865707,866630,867458,865603,864229,863778,864634,866023,1122012,1135706,1138172,1134490,1137398,1134056,1142442,1145050,1148395,1151566,1154942,1156729,1157973,1158596,1162269,1165549,1167608,1170049,1172974,1175140,1176165,1176368,1177449,1178740,1179258,1178951,1179350,1178769,1180585,1182295,1184821,1186453,1189079,1190009,1190172,1190325,1189840,1188480,1192943,1195020,1196339,1198943,1201836,1203832,1204820,1206363,1207256,1209784,1211157,1211490,1214367,1215794,1215903,1218350,1220002,1221011,1222735,1225145,1226515,1227624,1228113,1228227,1229950,1232396,1232157,1235110,1239392,1242198,1246935,1250760,1253742,1256164,1258757,1262118,1264342,1265721,1267811,1283896,1286881,1289268,1292767,1296168,1299699,1301803,1304234,1307155,1308591,1312629,1315768,1318528,1322093,1326482,1330341,1333809,1337536,1340328,1343241,1346058,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    DAC Doméstico alto consumo,512561,511560,504462,496428,496845,502403,510452,506250,505769,518104,507346,497720,528765,581469,606829,604287,601564,601512,606280,604252,591117,580994,572168,567549,565700,571049,570905,565146,567778,578085,583413,587238,588262,583467,574794,570128,568896,568975,569079,567987,568901,575444,576608,574001,571045,562349,553352,543308,540111,540767,535874,531791,532493,534472,536963,541031,553726,511472,557332,555164,514753,508852,502194,483615,472583,463388,460544,452766,450388,466580,494836,511083,511853,506312,508336,519473,530513,537372,542313,542517,545229,546698,545621,545241,542184,540567,539251,534958,525612,516951,510960,505590,501845,496871,495411,493002,489357,488420,487327,486558,483482,480402,476868,472996,468010,462086,460003,456706,452800,448609,444518,442860,433274,437219,433000,432379,431393,427855,424289,419365,416068,415045,414332,414035,414579,415712,411981,418348,423049,427076,431412,434502,437512,440383,440734,440822,440002,434364,432422,433646,430355,426439,426535,427097,427633,429143,431112,432595,431818,431064,434392,436383,437874,439517,438245,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
